,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
214,3,57.02932,3016.95370,57.55684,309.54167,1.99767,120.78472,48.12500,189.22835,127.56807
215,3,5.44753,4614.75926,46.31959,416.86458,0.50000,57.95139,30.79167,335.14175,526.38134
216,3,198.21373,10551.51389,187.54755,1095.81597,0.97822,513.01389,67.09722,619.71936,550.37879
217,3,276.01080,10254.62731,147.87787,1402.68403,0.62829,167.05556,18.18750,579.54208,831.47019
218,2,27.20023,4770.68287,43.84183,163.87153,0.71605,160.23611,18.38194,515.07230,1148.92120
219,3,320.05633,17959.47222,333.52989,2591.02431,0.50000,440.13889,21.22222,1309.46814,1542.23735
220,1,60.25463,3579.37731,52.05582,201.56944,0.64267,116.18750,4.31250,262.70302,416.40479
221,2,24.70602,4382.97685,62.79001,300.75694,0.94953,245.17361,88.95833,279.77492,161.88846
222,1,103.91435,3802.02546,94.89773,362.98264,4.04796,224.74306,23.05556,241.45833,161.96755
223,1,17.90046,1466.73380,38.51971,147.15625,0.51942,44.07639,17.34722,99.89992,83.75236
224,3,163.81481,6664.59722,107.07873,1017.35069,0.50354,125.72917,28.04167,390.82026,556.91671
225,2,10.33449,2962.36806,12.67930,50.15972,0.51807,44.81944,4.03472,249.52859,618.08812
226,3,1069.70293,32916.65741,570.83960,4241.80556,1.55260,635.63194,2.50694,2080.35417,2830.67657
227,2,183.68519,8235.32407,78.14312,587.03125,0.64855,132.99306,17.63889,538.71364,645.23091
228,2,111.93056,4495.62269,56.37993,360.19792,0.76851,126.83333,24.89583,269.23652,262.36884
229,2,126.30440,2902.03472,60.66180,308.92361,2.36942,89.05556,10.93056,179.11765,185.87032
230,1,43.74074,1799.04167,52.10164,183.90972,2.74014,51.59722,12.51389,117.27328,101.44446
231,3,112.55093,6657.09028,118.19828,530.98264,1.83005,492.70139,42.89583,396.46855,218.14715
232,3,26.00077,2069.66204,44.88768,271.16667,1.22842,113.38194,15.79167,127.75817,78.26092
233,2,71.81829,4741.34491,37.65142,148.06944,0.52033,216.99306,5.85417,309.10498,334.35817
234,3,41.20525,2687.31944,43.95897,268.04861,0.56794,135.34028,29.46528,169.22508,105.32809
235,3,234.67515,10545.80093,121.05063,1086.12153,0.62396,311.25000,79.66667,645.18587,677.62259
236,2,188.24074,4938.33565,97.47627,597.43750,2.79713,154.15278,11.10417,304.88848,338.10199
237,2,142.05440,4279.21759,83.81210,517.43750,0.69756,106.92361,6.43056,246.68913,303.31982
238,2,484.34259,12483.32870,264.96045,1499.76042,0.67349,274.93056,6.43750,706.78799,947.96863
239,2,224.59028,7450.40741,169.47931,806.67361,1.52017,216.80556,155.61111,472.91258,385.78416
240,2,545.23380,35754.19444,367.26027,1894.24653,0.69014,966.63194,152.86111,2396.62827,3292.49174
241,3,158.45062,15125.11343,464.51359,2728.80903,0.60930,141.97917,37.06250,973.67606,1149.78506
242,1,23.91898,2203.60417,74.81858,268.27431,0.86691,71.22222,6.81250,149.58007,146.79190
243,2,13.71065,7281.43056,123.07277,938.49306,0.54632,70.35417,12.25000,486.34804,836.10821
244,2,77.87500,9719.81019,65.69237,443.89583,1.75366,145.01389,20.57639,727.43260,1308.74273
245,2,302.90625,12571.42593,131.41019,941.91667,2.29761,97.45833,5.24306,807.63930,1189.72071
246,3,12.33951,4811.47454,148.22018,1690.53819,0.50000,80.18056,8.34722,326.68546,524.34751
247,2,31.49653,5652.67593,81.01926,504.84028,0.54364,106.96528,15.22917,407.30801,606.95015
248,2,64.96296,6252.30556,178.22631,1191.10069,0.50000,233.91667,36.55556,401.37418,377.54133
249,1,411.40509,18456.56944,201.04599,787.53125,2.96575,279.56250,28.94444,1328.23448,2081.86595
250,1,1943.90046,21505.00694,776.33304,3077.66319,3.10667,237.27778,16.16667,1272.95425,1953.89758
251,3,122.88657,4460.78935,59.01622,547.80208,0.51905,78.27778,29.38194,263.57435,340.25159
252,2,19.95602,785.98611,20.81572,80.30903,1.60314,44.81944,13.75000,49.53472,32.62600
253,2,221.88773,6077.24306,110.24330,442.31250,3.11060,297.58333,43.44444,363.49101,253.02105
254,2,44.71759,2010.27315,33.99012,169.28472,0.51843,102.56944,21.08333,135.85907,98.68437
255,3,132.10108,6722.10880,123.67233,823.93403,0.87813,253.45139,50.60417,416.54126,406.97137
256,2,61.88426,5894.05787,103.61360,388.53472,0.96549,348.40972,227.34722,362.72304,84.88718
257,1,20.06019,4383.85185,24.39204,77.90972,2.97628,100.50000,45.57639,316.09600,437.95489
258,1,230.33565,6357.10185,100.02515,381.57292,3.78755,196.88194,36.59028,437.29698,504.11212
259,2,48.45255,1515.99074,26.68541,158.72917,0.73777,46.18750,4.39583,94.93546,94.41181
260,2,140.21759,6211.59722,105.43219,482.87500,2.04352,335.80556,92.66667,373.58987,183.54973
261,2,286.64699,6724.77315,127.36372,866.10417,0.50684,121.45833,9.97222,375.39093,594.06485
262,3,307.23380,14517.90972,213.19462,2475.31250,0.79783,22.06944,9.62500,871.65033,1341.63400
263,2,8.76505,2886.96991,28.59857,123.97222,0.69137,104.84028,46.98611,208.79371,221.86341
264,2,17.00926,1155.99074,28.45658,187.88889,0.61127,25.93750,9.56944,73.12173,76.31821
265,2,37.32407,3249.10185,76.31157,540.32986,1.83523,66.70833,15.49306,203.51062,217.26691
266,2,472.99769,9945.57407,192.77255,1458.34722,2.11364,61.29861,16.43750,553.50163,998.41074
267,1,80.31019,1757.93287,37.73415,129.36111,3.06809,50.87500,14.04167,132.85498,156.07691
268,2,9.89583,1824.15741,35.06889,174.95486,0.94341,77.45833,30.07639,122.58088,85.74145
269,1,14.05093,14183.43981,32.20672,119.87500,1.77691,256.99306,82.58333,1015.58987,1545.02697
270,2,400.06944,24353.88657,170.92269,1262.76736,0.57535,166.23611,2.05556,1803.88766,3013.47663
271,2,66.35185,11910.97685,122.43385,555.23958,0.59527,353.45833,31.41667,943.69322,1595.72988
272,1,61.31944,3019.18519,79.12541,288.14583,3.69934,146.72917,23.43750,226.35784,250.98598
273,1,28.71065,4532.79861,24.34781,82.99653,2.64608,127.86111,36.75000,372.33415,618.47352
274,0,0.00000,8509.54630,0.00000,0.00000,0.00000,264.81944,16.90972,588.80596,986.04459
275,2,110.96528,5558.06944,74.10702,399.29514,1.16054,230.95139,95.65278,431.04412,579.77404
276,3,142.43904,15253.19907,114.58611,1091.86111,0.93434,204.66667,29.04167,1124.43342,1811.70539
277,2,64.27546,7795.50694,84.74219,562.48264,0.69616,75.30556,12.62500,648.62132,1450.16277
278,2,48.77431,8860.21296,150.75721,1118.54861,0.72563,103.09028,40.77778,912.26266,2249.45963
279,1,13.45139,7910.04398,14.15371,40.89931,2.88917,55.07639,19.02778,620.15727,916.56986
280,3,27.51698,1379.14815,34.65928,191.42014,0.50000,16.52778,3.70833,84.23897,93.96986
281,2,203.21528,5158.56481,102.85435,592.37847,1.89492,180.67361,26.22222,309.33783,327.86955
282,2,169.03588,7347.76389,81.38292,592.74306,2.30284,109.84028,11.93750,533.18505,858.20491
283,3,11.23225,1723.16204,47.63714,405.14583,0.50000,64.43750,14.81250,115.38562,130.33551
284,1,7.72685,926.12963,26.84896,82.39583,0.59294,29.45833,8.08333,64.02410,67.61898
285,3,38.19136,1423.80324,32.68912,183.46181,0.72592,16.89583,5.53472,86.97794,98.20758
286,3,55.33719,5366.92824,108.81098,1004.14583,0.50000,166.79167,71.89583,355.99796,365.47329
287,1,93.18519,3835.38889,52.85417,186.88194,2.95691,128.22917,11.92361,280.60049,403.68291
288,1,94.02546,3762.50926,164.68068,629.53125,1.03628,95.15278,5.80556,266.11193,275.53899
289,2,278.18866,7244.74306,128.73059,503.02778,2.34227,332.47222,23.02778,420.06781,335.83718
290,2,294.57407,9817.16667,211.75914,893.42708,1.10601,545.36111,34.14583,569.14420,553.43855
291,1,280.95370,5315.12963,117.15244,446.09722,5.51215,165.36111,20.08333,318.47508,309.14746
292,3,97.28549,4221.58796,89.27766,541.45486,0.51112,42.88889,24.38194,256.90727,287.79014
293,3,158.70062,5538.32639,82.43968,751.42361,0.82941,146.97917,10.30556,336.67688,447.16872
294,1,855.04167,17942.18981,344.66986,1353.95139,5.74176,819.84028,17.68750,1057.26757,962.22167
295,3,86.88735,3803.09028,60.74602,496.46875,0.79200,101.75000,12.13889,223.52819,248.95040
296,3,15.32022,822.03009,16.37036,65.21528,0.86248,45.88194,15.24306,52.74918,27.80203
297,2,100.01042,3199.21759,53.87198,311.72917,1.20997,87.00000,31.25694,197.67729,179.26384
298,3,217.50000,7301.34722,112.55485,935.80208,1.40852,286.22222,12.19444,435.82108,594.46085
299,1,409.09954,7355.48380,196.18370,756.26736,3.54069,295.69444,76.45139,448.88603,392.69603
300,1,39.46065,3212.67593,28.48643,88.64931,3.39210,99.70833,25.56944,227.68015,353.84856
301,2,31.69907,2617.10880,49.54207,242.76389,0.50000,143.68750,12.97222,172.29126,146.78164
302,2,6.81481,1515.29167,84.71788,618.84722,0.50513,13.39583,6.31944,108.76144,196.52701
303,2,46.87731,4790.39815,127.61994,877.57986,1.84284,105.94444,43.30556,300.98693,326.28859
304,2,107.05556,8532.55556,230.01042,1628.29861,1.31028,190.08333,44.16667,552.40850,631.51018
305,1,135.68287,3188.18981,81.27184,316.74653,0.76259,119.97917,38.93056,193.23938,150.19239
306,2,79.66898,6525.84954,215.33972,1020.27778,0.61335,252.97917,56.63889,427.43505,364.18619
307,1,42.90741,3116.67824,41.96307,155.97222,2.39618,135.51389,47.84028,285.35376,516.84634
308,3,9.81790,1110.30787,32.89202,241.90972,0.74421,55.37500,8.64583,75.13154,75.98301
309,3,163.77006,10108.56481,170.31604,893.72569,0.89063,499.99306,164.77083,623.82516,373.04516
310,3,17.82793,7589.37963,34.86359,223.48958,0.99255,100.31944,35.21528,627.26838,1471.10591
311,3,5.54630,1373.46759,9.78715,25.27431,0.56835,21.09028,6.38194,113.46773,237.27597
312,2,15.98727,1339.16204,22.98749,96.60417,1.18682,53.42361,12.59028,91.57680,103.89178
313,2,54.23264,23503.64815,654.37688,4575.44097,0.50000,559.88194,1.97222,1530.27124,1811.18744
314,2,114.63542,3684.44444,121.76606,573.23264,0.50000,79.02083,3.70139,235.06822,255.22694
315,1,108.89583,4409.56944,46.12206,170.49653,3.18784,48.02778,3.34722,304.72590,536.40337
316,3,20.17978,677.03009,16.56660,56.26042,0.54042,33.66667,6.38889,40.05596,29.78434
317,1,591.68056,9655.14352,230.07754,890.80556,5.06220,425.10417,7.77083,564.86520,579.07414
318,2,9.49421,2689.68981,16.70283,60.41667,1.10379,44.51389,16.15278,194.31209,359.73556
319,2,5.57986,511.31481,7.15973,16.53819,1.59904,18.58333,3.81250,36.95792,52.49949
320,3,293.04861,18265.42361,281.36692,1915.27083,0.53973,990.20833,5.00694,1088.24224,984.03796
321,3,29.93904,1697.22222,32.70611,158.50000,1.31778,100.76389,22.63889,102.53309,67.98210
322,1,55.33102,11223.32870,471.62766,1882.78819,0.50000,80.80556,20.20833,797.21242,909.12633
323,2,18.56713,1269.04167,36.17964,153.31944,0.50000,83.46528,15.73611,81.59109,46.68368
324,2,21.91551,853.44213,17.13303,70.82639,2.12655,38.45833,20.18750,57.62214,43.62817
325,2,20.46644,760.25926,18.89108,78.67361,1.41121,35.72222,16.56944,48.02533,30.99033
326,2,493.51389,15295.78935,277.96188,2165.89931,0.65325,128.38889,22.33333,884.85580,1187.64891
327,3,127.09336,4759.54630,73.99868,579.76389,0.65966,148.94444,10.35417,276.93178,354.71939
328,2,102.45370,2547.47222,51.19676,326.68403,0.60868,52.25000,10.79167,148.06250,192.48270
329,2,18.53125,697.78704,17.05053,49.03472,3.01714,37.27083,17.33333,43.14542,17.11151
330,2,20.64815,3235.44213,42.06104,206.15972,1.84112,115.36806,16.32639,238.78962,286.19655
331,1,11.72454,12971.31481,17.82861,55.71875,2.07494,58.18750,37.80556,912.72100,1512.32721
332,3,39.91204,27616.87037,920.12457,9021.11806,0.50000,661.23611,30.44444,1977.35539,3271.33458
333,1,470.77083,14558.30556,968.40712,3842.62847,1.61800,194.70139,13.70833,953.75940,1488.93292
334,1,7.94907,7293.31250,14.69817,44.68056,2.23377,50.10417,12.81250,917.24673,2867.45508
335,4,159.82176,8263.62963,113.38013,1018.69444,0.52032,94.90972,31.27778,480.15891,665.58417
336,2,42.01968,2916.11343,51.03493,273.96528,1.64667,155.17361,27.06250,217.25082,193.23855
337,3,79.60108,14350.96759,368.24478,3692.95833,0.79439,368.20139,0.55556,996.85580,1282.85917
338,2,2354.33102,74207.72917,925.39796,6888.28125,2.59430,561.50694,0.59722,4547.63807,6324.89510
339,1,5.82407,5179.08565,18.56250,55.25000,0.55818,73.24306,28.95833,383.51144,524.58476
340,2,165.79861,9638.29861,185.40368,776.96528,2.31477,676.17361,52.67361,576.59273,317.29041
341,1,219.74074,4770.36111,280.75443,1118.02083,0.50000,49.06944,5.59722,303.88031,480.41514
342,0,0.00000,11793.64815,0.00000,0.00000,0.00000,87.98611,1.79167,789.42279,997.64159
343,1,715.41667,15724.59954,284.39982,1108.56944,3.00399,46.94444,5.75694,1083.40972,1877.47392
344,2,138.93287,4415.07639,93.00814,398.09028,0.50000,240.47222,24.58333,264.52492,218.08726
345,2,129.47222,2665.00463,56.86533,335.18750,2.41740,51.63194,9.47222,151.95711,210.74189
346,2,42.87500,1144.03935,31.06584,138.11111,1.12441,45.70139,2.50694,70.89624,73.77278
347,2,39.04514,2041.47917,19.73921,108.33681,0.59910,17.32639,8.52083,154.31822,291.38097
348,1,243.67130,5189.30093,261.75738,1016.72917,2.11963,75.54167,1.55556,341.95057,428.84439
349,2,40.23264,1164.97685,25.16290,107.09722,1.80835,60.16667,6.40278,73.75082,61.08818
350,1,145.54861,1736.19907,60.72257,229.87153,3.16295,38.50000,7.48611,104.77819,134.33347
351,1,88.59954,6466.67824,139.98215,545.78125,2.46606,427.52778,42.10417,410.03023,214.41962
352,2,22.88310,1844.62500,24.11046,83.04514,0.66629,79.47222,8.89583,130.96855,174.02096
353,4,8.16956,557.49074,10.95259,41.45833,0.53203,20.54861,18.58333,36.02859,27.77520
354,2,32.61227,779.22454,18.35659,103.88194,1.09286,14.22917,1.82639,46.62827,59.11976
355,2,14.16088,916.24306,28.89379,147.91667,0.59316,49.64583,12.71528,60.38725,39.79131
356,2,352.08912,8826.04630,150.56464,1145.16319,2.45937,44.15972,5.97917,495.16381,743.58462
357,3,36.53241,1341.59491,23.02084,163.52778,0.50000,31.90972,5.83333,76.82598,98.27482
358,2,74.86111,3141.05093,62.14749,265.55208,2.07832,106.49306,16.72222,245.11275,358.47687
359,1,1024.72917,11307.00463,393.30732,1550.78819,3.20025,76.09722,12.96528,648.21038,1002.81926
360,2,48.69560,4234.53935,128.82175,922.24653,1.51263,69.02083,43.88889,323.15850,430.37546
361,3,23.60648,1638.84028,31.26811,186.36806,0.61482,97.86111,14.43056,109.17933,87.94665
362,3,38.34954,3267.39583,88.15474,917.01389,1.08188,42.70833,15.61111,214.28268,324.37802
363,1,178.48148,12248.03009,727.88021,2880.52083,1.06370,300.25694,21.64583,801.42892,1032.07081
364,2,42.38657,3735.42361,76.83520,423.34375,0.98162,212.62500,56.38194,236.67075,140.27117
365,2,14.30208,1185.02315,20.90211,80.79514,1.00671,67.68750,16.56250,78.09559,61.75298
366,2,35.73958,8368.23611,165.75654,1084.87847,0.51484,206.45833,118.38194,695.06699,1279.67596
367,4,10.50926,1003.35185,20.74764,85.14583,0.51161,65.09028,17.85417,73.84681,56.35575
368,1,274.64120,7387.51852,139.03668,526.72569,6.96907,435.54861,116.65278,441.80882,261.11486
369,3,15.67670,1851.44907,24.54662,94.29514,0.86883,84.17361,49.68056,155.66953,266.92860
370,1,5.94444,3563.32639,6.36458,10.50000,1.94286,4.87500,1.40972,295.12459,613.66044
371,2,24.06019,753.01389,30.62101,188.11806,0.50000,22.72222,1.68056,48.95874,64.44587
372,3,17.82099,1086.39583,26.49263,102.16319,0.66494,86.29167,6.06944,64.68015,41.91888
373,2,8.28588,165.24769,6.50493,12.50694,1.00595,6.97917,3.48611,11.88971,12.50529
374,2,9.65625,768.98611,12.88585,44.07986,2.76117,23.40972,10.88194,85.72018,236.38918
375,2,36.27778,6044.85417,87.29427,636.06944,1.39051,136.25000,4.47222,411.42606,483.59858
376,1,66.12269,2837.04398,69.44735,252.42014,3.01151,185.57639,8.72917,189.76879,151.67335
377,3,25.33951,1842.54630,40.50950,195.96875,0.68040,99.80556,31.10417,115.41503,62.82758
378,3,91.34491,3155.27315,43.78999,438.78125,0.83866,18.27083,3.34028,177.19975,295.69588
379,2,11.07060,9138.27315,139.60294,1079.13194,0.69375,542.29167,3.63889,576.41217,529.90261
380,2,1583.19560,57225.88657,937.99414,6957.42708,1.85215,1025.83333,13.11111,3428.66136,3985.84936
381,3,9.69522,248.42361,8.91229,26.44097,0.59287,14.22917,3.60417,15.18668,9.01320
382,3,173.69907,7993.49074,121.88470,714.48958,0.67549,261.03472,37.18750,462.77819,406.88134
383,1,17.53704,10547.63194,16.39479,57.09028,1.59055,79.39583,10.77778,706.54167,962.01268
384,2,51.65278,2106.50000,33.11555,191.92708,0.53283,76.96528,28.95139,132.08701,101.12257
385,1,36.92593,956.84954,25.15382,78.35417,3.30725,50.39583,9.99306,58.54779,32.65952
386,3,65.68827,3037.12037,46.98147,281.08333,0.50000,154.20833,17.66667,182.31658,151.22524
387,2,291.98843,6736.66435,126.50831,870.30903,0.71485,111.90972,10.75694,407.22345,548.78208
388,2,71.42361,1751.26852,36.31107,246.35069,0.50920,23.13889,6.93750,107.55270,143.51418
389,1,13.71296,1356.07176,20.02872,61.59028,2.29078,55.37500,10.95833,88.03758,87.16978
390,0,0.00000,30161.84491,0.00000,0.00000,0.00000,150.36111,61.76389,2218.99877,3683.55463
391,2,106.45023,7959.93287,154.29740,625.58333,0.50000,521.71528,20.43056,589.09518,564.86111
392,3,78.68287,7936.88426,193.44794,2179.54514,0.94979,53.86806,31.01389,521.56985,823.40274
393,1,34.02315,7050.63426,46.60731,163.17361,2.47693,155.88194,29.68056,580.90972,930.09779
394,3,10.89738,1583.44213,14.98934,72.76042,0.61514,45.00694,21.38194,188.05515,442.67323
395,0,0.00000,3726.37269,0.00000,0.00000,0.00000,66.54861,15.79167,348.72508,724.22176
396,2,5.68403,3549.87269,62.37418,417.53819,0.50000,73.62500,14.50000,333.40114,702.15924
397,4,72.70544,7832.21991,188.61156,2038.94444,0.50282,158.70139,17.25000,496.42443,662.90234
398,2,18.81829,1298.48148,16.59337,55.31250,1.46102,36.88889,15.00000,157.42688,367.71039
399,2,165.02315,6043.18750,102.57011,459.74306,1.82917,279.44444,46.08333,382.78391,290.58012
400,2,85.28009,3708.44676,59.24493,315.17708,2.48303,170.49306,8.59028,288.75082,398.23703
401,2,89.69213,2775.42130,57.51120,213.99306,1.60315,171.10417,8.09722,169.46855,118.98262
402,2,312.29051,18369.86806,649.68939,4643.17708,0.50000,244.60417,5.45139,1172.34109,1708.83483
403,1,664.62269,7432.21991,259.14233,1012.82986,3.30154,88.11111,15.54167,464.22059,611.08918
404,3,34.67670,3136.73611,79.29820,843.83681,0.51052,33.29167,21.38889,212.04493,323.48347
405,3,13.51775,947.09491,27.52071,196.79514,0.50000,48.11111,8.79861,64.22263,59.54882
406,2,7.60069,591.21528,9.84424,20.59722,0.53803,19.63194,7.19444,43.47876,67.81215
407,3,108.28704,8981.84028,255.08806,2611.46181,0.50000,146.94444,3.40972,618.31536,949.23257
408,1,30.70833,676.35185,17.44816,57.40972,3.04928,19.22917,5.95833,56.17034,96.01711
409,2,66.42940,3773.69213,81.34150,431.81250,0.86210,169.71528,4.75694,235.03391,206.57691
410,1,106.35185,2029.59491,66.66903,259.71528,0.58890,79.78472,5.33333,122.01348,128.81193
411,3,12.80478,387.55787,8.99958,37.67014,0.50000,15.84722,5.67361,22.87377,19.61851
412,3,78.46451,3101.67361,39.12549,352.75694,0.50000,39.13194,12.69444,178.72549,221.95697
413,1,82.25231,2908.75694,79.22719,306.32292,1.19478,144.45139,46.67361,181.25082,133.94335
414,4,45.07928,2399.93056,36.73995,271.83333,0.56747,82.45833,3.15278,144.71283,138.02531
415,2,42.22338,1162.77778,26.35197,123.63889,1.70605,53.15972,7.00694,70.59559,63.52504
416,2,53.12731,1697.32870,32.17378,137.79514,1.77348,73.40972,15.90278,99.57271,77.85649
417,1,11.58333,10912.73611,14.26844,38.86806,2.75215,59.22222,9.73611,790.36683,1881.92865
418,1,527.50463,12359.31250,441.87638,1737.22222,3.50671,112.75000,17.56250,749.58619,895.93525
419,2,14.65625,463.66898,13.03601,41.61458,1.61600,26.51389,4.09028,28.13766,16.71987
420,3,146.97840,17896.34954,526.83043,5211.46181,0.50000,379.91667,64.16667,1191.96201,1715.10382
421,3,8.84182,3152.23380,116.03464,1293.74306,0.50000,39.93056,7.41667,231.51471,420.40966
422,2,21.82986,1091.22454,20.77780,63.34722,0.60677,55.26389,6.09028,90.21732,124.54847
423,4,32.88889,2627.44676,42.64773,529.73958,0.67338,29.05556,19.11806,187.73489,256.37160
